1,2,1.04021216192746
1,3,0.486826931937398
3,4,0.235121359261556
1,5,0.313269731214028
2,6,0.0676746743976992
4,7,0.16265532632776
7,8,0.233428237864352
3,9,0.035152671128479
6,10,0.225368302590149
8,11,0.0729399650119668
4,12,0.0549713898143122
4,13,0.132070128701162
9,14,0.176605604797234
14,15,0.217064778663184
5,16,0.102913982834972
10,17,0.23961802034009
14,18,0.271089022823049
9,19,0.0771563555878855
2,20,0.327836903610712
12,21,0.0184852231351895
10,22,0.170569743271362
21,23,0.0454830615634622
18,24,0.076406338952067
15,25,0.0700064294202675
17,26,0.0752056094389102
22,27,0.143311559609788
